Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
8,21,m,65,d,1742623975.511313
0,0,0,0,0,0,3,red,red,y,2.592186689376831
0,0,0,0,0,0,4,yellow,red,y,2.568848133087158
0,0,0,0,0,0,7,red,blue,y,2.7053966522216797
0,0,0,0,0,0,13,blue,green,y,2.5284104347229004
0,0,0,0,0,0,5,blue,blue,y,2.5726916790008545
0,0,0,0,0,0,2,green,red,y,3.4079346656799316
0,0,0,0,0,0,11,red,yellow,y,2.4851279258728027
0,0,0,0,0,0,9,blue,yellow,y,2.663867950439453
0,0,0,0,0,0,15,red,green,y,3.159809112548828
0,0,0,0,0,0,6,green,blue,y,2.498993396759033
0,0,0,0,0,0,16,yellow,green,y,2.955360174179077
0,0,0,0,0,0,10,green,yellow,y,2.879176616668701
0,0,0,0,0,0,14,green,green,y,2.4892537593841553
0,0,0,0,0,0,12,yellow,yellow,n,2.5120368003845215
0,0,0,0,0,0,8,yellow,blue,y,2.484076976776123
0,0,0,0,0,0,8,yellow,blue,y,2.5378050804138184
0,0,0,0,0,0,0,0,0,0,0,1.65
0,0,0,0,0,0,0,0,0,0,0,1.11
Timestamp,Pupil_X,Pupil_Y
2058.5825,456.3489990234375,379.34429931640625
2092.630833333333,456.7061767578125,368.9173889160156
2124.2016666666664,456.45306396484375,358.3423767089844
2157.72,456.2494812011719,349.45452880859375
2191.3683333333333,456.23956298828125,342.33465576171875
2224.8775,456.3448486328125,338.19134521484375
2258.13,456.7951354980469,337.0826110839844
2292.2966666666666,456.9606628417969,337.6866455078125
2326.4216666666666,458.0558166503906,336.32281494140625
2358.1908333333336,458.66534423828125,333.0609130859375
2390.9658333333336,458.1181640625,317.5373840332031
2423.4066666666668,456.87298583984375,293.1683044433594
2459.7608333333333,456.3983459472656,268.3124084472656
2493.185,452.4742431640625,195.05758666992188
2525.3966666666665,455.862060546875,187.93978881835938
2558.055,460.0676574707031,185.76583862304688
2591.116666666667,461.5502014160156,181.63734436035156
2623.22,516.7025756835938,130.6866912841797
2658.5775,508.24371337890625,119.29580688476562
2693.1883333333335,465.371337890625,179.23472595214844
2724.806666666667,467.7958984375,181.09848022460938
2760.3033333333333,469.9223937988281,179.52886962890625
2789.971666666667,494.7841491699219,99.63250732421875
2823.275833333333,472.9649658203125,179.0105743408203
2858.5175,519.48193359375,119.56996154785156
2890.1758333333332,472.3218688964844,175.94346618652344
